APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,ASK_AMT,IS_SUCCESSFUL
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T5,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,36607,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,484855,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,0
T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,137272,1
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,5000,1
T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,101980,0
T3,Independent,Other,Preservation,Trust,1,1M-5M,N,4410503,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,15477,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,5000,0
T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,24211,1
T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,9868,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T4,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,10000-24999,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,5000,1
T3,CompanySponsored,C2000,CommunityServ,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T8,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T6,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Association,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2100,Preservation,Trust,1,1-9999,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T6,Independent,C2000,ProductDev,Trust,1,1-9999,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,638229,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,20520,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Association,1,1-9999,N,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,8160,1
T5,Independent,C3000,ProductDev,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T4,CompanySponsored,C3000,Preservation,Association,1,0,N,5000,0
T3,Independent,C2100,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,34879,0
T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,205120,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,12829,1
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,452970,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,72961,1
T19,Independent,C1000,Preservation,Association,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T4,Independent,C1000,ProductDev,Co-operative,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
T3,Independent,Other,ProductDev,Trust,1,10000-24999,N,12860,1
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,Other,Preservation,Association,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,696502,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,Other,Preservation,Association,1,100000-499999,N,259589,0
T4,Independent,C1000,ProductDev,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,10000-24999,N,5213,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T6,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,1
T6,Independent,C1000,ProductDev,Trust,1,25000-99999,N,49112,1
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,86584,1
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,4108874,1
Other,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,25175802,1
Other,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T5,Independent,C1000,ProductDev,Co-operative,1,25000-99999,N,132449,1
T4,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Association,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,73686,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,723426,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
T8,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
T5,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,521883,1
T3,Independent,C2000,Preservation,Association,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,855350,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,370941,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Association,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1728949,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T8,Independent,C1000,Preservation,Association,1,0,N,5000,0
T7,Independent,C1000,ProductDev,Trust,1,1M-5M,N,287332,0
T6,Independent,C1000,ProductDev,Trust,1,1M-5M,N,1790960,1
T5,CompanySponsored,C3000,ProductDev,Association,1,1-9999,N,23799,0
T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,201655,1
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
T3,CompanySponsored,Other,Preservation,Association,1,5M-10M,N,27285052,1
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T5,Independent,C2000,ProductDev,Trust,1,10000-24999,N,7139,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,74643,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,640921,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,2705244,0
T3,Independent,C1200,Preservation,Trust,1,5M-10M,N,2770474,1
T10,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Co-operative,1,0,N,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
T6,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
T6,CompanySponsored,C3000,ProductDev,Association,1,0,N,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,61686,0
T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1064584,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,25736,1
T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,1
T3,Independent,C1000,Heathcare,Trust,1,10M-50M,N,17512616,1
T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,39064,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C2100,Preservation,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T7,Independent,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,67654,0
T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Association,1,25000-99999,N,139694,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,1-9999,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T4,Independent,C3000,ProductDev,Trust,1,0,N,5000,1
T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,212362,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,87981,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,16027,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1066994,1
T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,107484,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,9860,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T5,Independent,C3000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,20380,1
T4,CompanySponsored,C3000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Association,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,293732,0
Other,Independent,C1000,Preservation,Co-operative,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,25000-99999,N,2471994,1
T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,5000,0
T3,Independent,Other,Preservation,Trust,1,1M-5M,N,2793433,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,324268,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,343650,1
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Association,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Association,1,0,N,5000,1
T3,CompanySponsored,C1200,Preservation,Association,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,497726,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T7,Independent,C1000,ProductDev,Trust,1,0,N,5000,1
T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,28993,1
T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,118358,1
T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,2257305,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1200,CommunityServ,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C2000,Preservation,Association,1,0,N,5000,1
T3,CompanySponsored,C2000,ProductDev,Trust,1,25000-99999,N,64723,0
T3,Independent,C1200,Preservation,Trust,1,10000-24999,N,403069,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Association,1,25000-99999,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,8120,0
T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,329188,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Association,1,0,N,5000,0
T3,CompanySponsored,C1200,CommunityServ,Association,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,1
T6,Independent,C2000,ProductDev,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,6960,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,180240,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1200,Preservation,Association,1,0,N,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,1,1-9999,N,47901,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,5000,0
T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,23322,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
T3,CompanySponsored,C2000,Preservation,Association,1,0,N,5000,0
T3,Independent,C2000,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,100000-499999,N,102050,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,Other,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1200,Preservation,Trust,1,0,N,5000,1
T3,Independent,C1000,Preservation,Trust,1,0,N,5000,1
